date,gas_price_eur_mwh,coal_price_usd_t,carbon_price_eur_t,oil_price_usd_bbl,spark_spread,dark_spread,clean_spark_spread,shock_event
2015-01-01,20.0,80.0,25.0,60.0,-7.647,-49.167,12.353,
2015-01-02,20.152,78.752,25.375,61.016,-7.779,-49.712,12.521,
2015-01-03,19.169,77.214,25.44,60.668,-7.921,-50.027,12.431,
2015-01-04,19.161,76.226,25.888,61.518,-8.101,-50.594,12.609,
2015-01-05,19.193,77.515,26.13,60.566,-8.194,-50.598,12.71,
2015-01-06,19.37,76.4,26.589,60.512,-8.357,-51.197,12.914,
2015-01-07,19.28,75.619,27.239,60.344,-8.627,-51.912,13.164,
2015-01-08,19.074,75.22,27.529,60.741,-8.768,-52.239,13.256,
2015-01-09,19.271,75.706,28.708,60.296,-9.216,-53.219,13.75,
2015-01-10,19.024,74.782,29.062,61.522,-9.387,-53.692,13.863,
2015-01-11,18.97,73.84,28.582,62.242,-9.201,-53.418,13.665,
2015-01-12,19.322,74.441,28.202,62.502,-9.008,-52.975,13.554,
2015-01-13,19.379,74.685,28.693,62.754,-9.198,-53.377,13.757,
2015-01-14,19.708,74.761,28.859,63.467,-9.225,-53.513,13.862,
2015-01-15,18.99,74.403,28.588,62.737,-9.201,-53.329,13.669,
2015-01-16,18.859,76.071,28.093,63.83,-9.018,-52.605,13.456,
2015-01-17,18.066,75.689,28.184,64.504,-9.148,-52.751,13.399,
2015-01-18,18.387,76.59,27.988,63.967,-9.032,-52.424,13.358,
2015-01-19,18.781,76.37,27.274,62.662,-8.7,-51.818,13.119,
2015-01-20,18.349,76.939,27.351,63.441,-8.782,-51.793,13.099,
2015-01-21,18.153,77.122,27.694,63.088,-8.942,-52.07,13.213,
2015-01-22,18.361,76.357,27.492,62.654,-8.837,-52.017,13.157,
2015-01-23,17.812,76.914,27.234,62.668,-8.798,-51.692,12.989,
2015-01-24,18.026,77.429,27.597,62.557,-8.918,-51.932,13.159,
2015-01-25,17.835,77.337,26.665,60.928,-8.568,-51.109,12.764,
2015-01-26,17.245,76.18,26.879,59.935,-8.723,-51.494,12.78,
2015-01-27,17.082,77.665,26.687,60.73,-8.665,-51.074,12.685,
2015-01-28,16.684,77.425,26.18,60.36,-8.509,-50.658,12.435,
2015-01-29,17.034,75.419,26.408,60.618,-8.559,-51.197,12.567,
2015-01-30,16.781,73.783,26.446,60.04,-8.604,-51.504,12.553,
2015-01-31,16.879,73.807,27.293,59.782,-8.931,-52.262,12.903,
2015-02-01,16.447,74.006,27.413,61.244,-9.03,-52.337,12.9,
