date,zone,day_of_week,month,is_weekend,is_holiday,temperature_c,hdd,cdd,demand_avg_mw,demand_peak_mw,price_avg_eur_mwh,price_peak_eur_mwh,negative_price_hours,wind_cf_daily,solar_cf_daily,gas_price
2015-01-01,DE,3,1,0,1,-4.17,22.17,0.0,89.8,104.0,25.543,106.66,0,0.3284,0.0119,20.0
2015-01-02,DE,4,1,0,0,-3.55,21.55,0.0,89.5,102.3,19.365,30.94,0,0.3659,0.013,20.152
2015-01-03,DE,5,1,1,0,0.51,17.49,0.0,70.2,81.2,12.578,17.758,0,0.3602,0.0167,19.169
2015-01-04,DE,6,1,1,0,0.2,17.8,0.0,69.9,79.9,11.886,22.362,0,0.3841,0.0166,19.161
2015-01-05,DE,0,1,0,0,1.17,16.83,0.0,89.6,103.5,23.834,106.739,0,0.4194,0.0127,19.193
2015-01-06,DE,1,1,0,0,-3.19,21.19,0.0,89.4,102.9,19.207,26.465,0,0.476,0.0169,19.37
2015-01-07,DE,2,1,0,0,-5.35,23.35,0.0,89.5,101.7,21.703,31.33,0,0.4431,0.0195,19.28
2015-01-08,DE,3,1,0,0,5.25,12.75,0.0,89.4,103.7,26.434,106.367,0,0.4404,0.0204,19.074
2015-01-09,DE,4,1,0,0,-0.1,18.1,0.0,88.9,100.7,21.046,39.932,0,0.532,0.0187,19.271
2015-01-10,DE,5,1,1,0,-1.99,19.99,0.0,69.9,82.3,15.804,28.858,0,0.3402,0.0196,19.024
2015-01-11,DE,6,1,1,0,-4.53,22.53,0.0,68.8,79.8,13.733,20.554,0,0.4626,0.0106,18.97
2015-01-12,DE,0,1,0,0,2.76,15.24,0.0,89.0,103.0,33.442,128.923,0,0.4082,0.0202,19.322
2015-01-13,DE,1,1,0,0,-2.27,20.27,0.0,88.4,101.4,23.534,39.69,0,0.4022,0.0196,19.379
2015-01-14,DE,2,1,0,0,-0.1,18.1,0.0,89.3,102.9,27.976,123.311,0,0.3693,0.0165,19.708
2015-01-15,DE,3,1,0,0,4.33,13.67,0.0,88.0,101.7,20.577,31.314,0,0.3894,0.0222,18.99
2015-01-16,DE,4,1,0,0,-2.6,20.6,0.0,88.7,101.1,20.859,28.592,0,0.4141,0.0174,18.859
2015-01-17,DE,5,1,1,0,-5.05,23.05,0.0,69.1,79.7,13.216,18.181,0,0.423,0.0222,18.066
2015-01-18,DE,6,1,1,0,-1.25,19.25,0.0,68.6,78.0,13.678,21.828,0,0.5145,0.023,18.387
2015-01-19,DE,0,1,0,0,-0.63,18.63,0.0,88.0,101.1,20.529,32.356,0,0.3358,0.0316,18.781
2015-01-20,DE,1,1,0,0,-5.42,23.42,0.0,87.8,100.2,20.23,30.916,0,0.5009,0.0301,18.349
2015-01-21,DE,2,1,0,0,-4.34,22.34,0.0,87.9,104.7,28.463,119.153,0,0.36,0.0229,18.153
2015-01-22,DE,3,1,0,0,-1.55,19.55,0.0,87.6,100.7,21.69,30.47,0,0.3798,0.0347,18.361
2015-01-23,DE,4,1,0,0,-0.72,18.72,0.0,87.1,101.5,19.555,32.02,0,0.467,0.0282,17.812
2015-01-24,DE,5,1,1,0,0.79,17.21,0.0,68.0,78.0,13.826,20.134,0,0.4305,0.0322,18.026
2015-01-25,DE,6,1,1,0,3.23,14.77,0.0,67.5,77.6,15.116,32.473,0,0.2835,0.0266,17.835
2015-01-26,DE,0,1,0,0,-1.12,19.12,0.0,86.2,98.0,18.399,32.095,0,0.4237,0.0277,17.245
